Date,Classification,value
2018-02-01,Fear,30
2018-02-02,Fear,15
2018-02-03,Fear,40
2018-02-04,Fear,24
2018-02-05,Fear,11
2018-02-06,Fear,8
2018-02-07,Fear,36
2018-02-08,Fear,30
2018-02-09,Fear,44
2018-02-10,Greed,54
2018-02-11,Fear,31
2018-02-12,Fear,42
2018-02-13,Fear,35
2018-02-14,Greed,55
2018-02-15,Greed,71
2018-02-16,Greed,67
2018-02-17,Greed,74
2018-02-18,Greed,63
2018-02-19,Greed,67
2018-02-20,Greed,74
2018-02-21,Greed,54
2018-02-22,Fear,44
2018-02-23,Fear,39
2018-02-24,Fear,31
2018-02-25,Fear,33
2018-02-26,Fear,37
2018-02-27,Fear,44
2018-02-28,Fear,41
2018-03-01,Fear,38
2018-03-02,Greed,47
2018-03-03,Greed,56
2018-03-04,Fear,44
2018-03-05,Greed,55
2018-03-06,Greed,59
2018-03-07,Fear,37
2018-03-08,Fear,39
2018-03-09,Fear,37
2018-03-10,Fear,39
2018-03-11,Fear,40
2018-03-12,Fear,41
2018-03-13,Fear,41
2018-03-14,Fear,40
2018-03-15,Fear,32
2018-03-16,Fear,33
2018-03-17,Fear,31
2018-03-18,Fear,29
2018-03-19,Fear,29
2018-03-20,Fear,37
2018-03-21,Fear,36
2018-03-22,Fear,36
2018-03-23,Fear,28
2018-03-24,Fear,32
2018-03-25,Fear,30
2018-03-26,Fear,31
2018-03-27,Fear,24
2018-03-28,Fear,24
2018-03-29,Fear,18
2018-03-30,Fear,12
2018-03-31,Fear,16
2018-04-01,Fear,16
2018-04-02,Fear,11
2018-04-03,Fear,22
2018-04-04,Fear,22
2018-04-05,Fear,17
2018-04-06,Fear,19
2018-04-07,Fear,20
2018-04-08,Fear,17
2018-04-09,Fear,21
2018-04-10,Fear,18
2018-04-11,Fear,20
2018-04-12,Fear,18
2018-04-13,Fear,23
2018-04-17,Fear,26
2018-04-18,Fear,24
2018-04-19,Fear,25
2018-04-20,Fear,26
2018-04-21,Fear,32
2018-04-22,Fear,31
2018-04-23,Fear,28
2018-04-24,Fear,29
2018-04-25,Greed,64
2018-04-26,Greed,47
2018-04-27,Greed,55
2018-04-28,Greed,54
2018-04-29,Greed,61
2018-04-30,Greed,59
2018-05-01,Greed,56
2018-05-02,Greed,52
2018-05-03,Greed,55
2018-05-04,Greed,56
2018-05-05,Greed,63
2018-05-06,Greed,67
2018-05-07,Greed,56
2018-05-08,Greed,62
2018-05-09,Greed,53
2018-05-10,Greed,63
2018-05-11,Fear,41
2018-05-12,Fear,44
2018-05-13,Fear,40
2018-05-14,Fear,40
2018-05-15,Fear,40
2018-05-16,Fear,32
2018-05-17,Fear,31
2018-05-18,Fear,37
2018-05-19,Fear,31
